Participant,Technique,NumberOfTargets,Perplexity,trial_time
sub_19,AssistVR,2,Low,7.415129667
sub_19,AssistVR,2,Medium,9.796629667
sub_19,AssistVR,2,High,14.42424333
sub_19,AssistVR,4,Low,38.59283667
sub_19,AssistVR,4,Medium,16.35948767
sub_19,AssistVR,4,High,17.42350667
sub_19,DiscPIM,1,Low,8.711201
sub_19,DiscPIM,1,Medium,9.382562
sub_19,DiscPIM,1,High,10.92936067
sub_19,DiscPIM,2,Low,7.653727333
sub_19,DiscPIM,2,Medium,27.75567067
sub_19,DiscPIM,2,High,15.32191
sub_19,DiscPIM,4,Low,18.79585667
sub_19,DiscPIM,4,Medium,32.96804
sub_19,DiscPIM,4,High,20.63372667
sub_20,AssistVR,1,Low,5.494384667
sub_20,AssistVR,1,Medium,4.158264333
sub_20,AssistVR,1,High,12.5218
sub_20,AssistVR,2,Low,15.44794667
sub_20,AssistVR,2,Medium,9.745583
sub_20,AssistVR,2,High,20.71284333
sub_20,AssistVR,4,Low,8.980377
sub_20,AssistVR,4,Medium,18.108073
sub_20,AssistVR,4,High,14.96626667
sub_20,DiscPIM,1,Low,4.511169333
sub_20,DiscPIM,1,Medium,6.857582
sub_20,DiscPIM,1,High,8.809386667
sub_20,DiscPIM,2,Low,14.62874233
sub_20,DiscPIM,2,Medium,18.83155767
sub_20,DiscPIM,2,High,10.09478767
sub_20,DiscPIM,4,Low,19.75785
sub_20,DiscPIM,4,Medium,21.34976333
sub_20,DiscPIM,4,High,21.26318333
sub_21,AssistVR,1,Low,8.962004333
sub_21,AssistVR,1,Medium,7.560526667
sub_21,AssistVR,1,High,15.02284833
sub_21,AssistVR,2,Low,7.676351
sub_21,AssistVR,2,Medium,27.61254333
sub_21,AssistVR,2,High,7.871338
sub_21,AssistVR,4,Low,7.280741333
sub_21,AssistVR,4,Medium,12.99859667
sub_21,AssistVR,4,High,14.49774967
sub_21,DiscPIM,1,Low,6.233917
sub_21,DiscPIM,1,Medium,5.76473
sub_21,DiscPIM,1,High,9.449787
sub_21,DiscPIM,2,Low,12.16366333
sub_21,DiscPIM,2,Medium,9.120118667
sub_21,DiscPIM,2,High,7.764852
sub_21,DiscPIM,4,Low,28.05314667
sub_21,DiscPIM,4,Medium,23.06095333
sub_21,DiscPIM,4,High,60.81733
sub_22,AssistVR,1,Low,6.831108333
sub_22,AssistVR,1,Medium,8.468577
sub_22,AssistVR,1,High,21.41650267
sub_22,AssistVR,2,Low,13.24012567
sub_22,AssistVR,2,Medium,37.54807667
sub_22,AssistVR,2,High,27.82161567
sub_22,AssistVR,4,Low,9.630415333
sub_22,AssistVR,4,Medium,34.791004
sub_22,AssistVR,4,High,49.57198
sub_22,DiscPIM,1,Low,6.465026667
sub_22,DiscPIM,1,Medium,9.816163333
sub_22,DiscPIM,1,High,12.36415667
sub_22,DiscPIM,2,Low,19.63464667
sub_22,DiscPIM,2,Medium,19.75553333
sub_22,DiscPIM,2,High,15.597656
sub_22,DiscPIM,4,Low,42.67189
sub_22,DiscPIM,4,Medium,25.02046667
sub_22,DiscPIM,4,High,27.48201667
sub_23,AssistVR,1,Low,4.418195333
sub_23,AssistVR,1,Medium,17.32317367
sub_23,AssistVR,1,High,12.51078233
sub_23,AssistVR,2,Low,8.691972333
sub_23,AssistVR,2,Medium,9.564787
sub_23,AssistVR,2,High,12.74762
sub_23,AssistVR,4,Low,33.74942333
