subject_id,Technique,perplexity,num_targets,global_trial_idx,trial_type,trial_id,distance_to_obj,num_attempts,trial_time,left_hand_distance_travelled,right_hand_distance_travelled,left_trigger_clicked,right_trigger_clicked,left_grip_clicked,right_grip_clicked
sub_2,AssistVR,High,2,45,Search,2,4.449682,1,11.79259,0.1716928,0.1478437,0,0,0,0
sub_2,AssistVR,High,2,46,Repeat,2,4.441175,1,10.58165,0.1684619,0.1418423,1,0,0,0
sub_2,AssistVR,High,2,47,Search,3,10.32212,1,15.32858,0.2703587,0.2803451,0,0,0,0
sub_2,AssistVR,High,2,48,Repeat,3,10.3187,1,28.68192,0.4289013,0.336181,0,0,0,0
sub_2,AssistVR,High,4,49,Search,1,7.543105,1,17.8208,0.7378697,0.5203745,0,0,0,0
sub_2,AssistVR,High,4,50,Repeat,1,7.574929,1,7.966301,0.1437303,0.07048238,0,0,0,0
sub_2,AssistVR,High,4,51,Search,2,10.10381,1,10.36868,0.1515315,0.07421398,0,0,0,0
sub_2,AssistVR,High,4,52,Repeat,2,10.10743,1,48.85216,0.7606214,0.3781043,0,0,0,0
sub_2,AssistVR,High,4,53,Search,3,4.234352,1,12.08488,0.1776997,0.09385439,0,0,0,0
sub_2,AssistVR,High,4,54,Repeat,3,4.246508,1,28.57925,0.3161023,0.1455773,1,0,0,0
sub_2,DiscPIM,Low,4,55,Search,1,4.169262,1,33.60725,2.921018,2.248673,4,0,0,6
sub_2,DiscPIM,Low,4,56,Repeat,1,4.23107,1,25.87845,2.793648,1.248716,4,1,0,15
sub_2,DiscPIM,Low,4,57,Search,2,3.205153,1,36.0015,2.611086,1.70331,5,0,1,9
sub_2,DiscPIM,Low,4,58,Repeat,2,3.223412,1,22.79071,3.077804,0.9882255,4,0,0,11
sub_2,DiscPIM,Low,4,59,Search,3,10.12829,1,31.32376,3.120435,1.652771,5,1,0,9
sub_2,DiscPIM,Low,4,60,Repeat,3,10.13341,1,12.10013,1.544133,0.4268928,4,0,0,8
sub_2,DiscPIM,Low,1,61,Search,1,13.4092,1,14.32483,1.74897,1.406552,3,1,0,3
sub_2,DiscPIM,Low,1,62,Repeat,1,13.44755,1,17.18048,2.767317,0.6074768,1,3,0,4
sub_2,DiscPIM,Low,1,63,Search,2,6.143412,1,6.684265,0.9882508,0.3578983,1,0,0,3
sub_2,DiscPIM,Low,1,64,Repeat,2,6.155538,1,3.52655,0.6981248,0.2755672,1,0,0,1
sub_2,DiscPIM,Low,1,65,Search,3,4.987808,1,6.598511,0.8528273,0.4013427,2,0,0,2
sub_2,DiscPIM,Low,1,66,Repeat,3,4.986654,1,4.594238,0.6967376,0.4172264,2,1,0,1
sub_2,DiscPIM,Low,2,67,Search,1,3.274495,1,7.895325,1.331085,0.6694681,2,0,0,4
sub_2,DiscPIM,Low,2,68,Repeat,1,3.274058,1,6.753357,1.016962,0.3497518,2,0,0,4
sub_2,DiscPIM,Low,2,69,Search,2,7.763321,1,17.32825,1.779595,0.6617104,2,1,0,5
sub_2,DiscPIM,Low,2,70,Repeat,2,7.764399,1,11.67706,2.244546,0.5042917,3,1,0,4
sub_2,DiscPIM,Low,2,71,Search,3,7.646659,1,14.41791,1.537802,0.6072925,2,1,0,5
