Participant,Technique,NumberOfTargets,Perplexity,trial_time
sub_16,AssistVR,2,High,11.23284933
sub_16,AssistVR,4,Low,13.396971
sub_16,AssistVR,4,Medium,11.72680733
sub_16,AssistVR,4,High,14.13606967
sub_16,DiscPIM,1,Low,5.286336333
sub_16,DiscPIM,1,Medium,9.289225
sub_16,DiscPIM,1,High,6.093058333
sub_16,DiscPIM,2,Low,23.53084333
sub_16,DiscPIM,2,Medium,22.29089333
sub_16,DiscPIM,2,High,20.60994333
sub_16,DiscPIM,4,Low,17.51355333
sub_16,DiscPIM,4,Medium,35.215515
sub_16,DiscPIM,4,High,31.41443
sub_17,AssistVR,1,Low,3.207201667
sub_17,AssistVR,1,Medium,2.389475333
sub_17,AssistVR,1,High,5.080246
sub_17,AssistVR,2,Low,5.397461
sub_17,AssistVR,2,Medium,5.850209333
sub_17,AssistVR,2,High,7.596293
sub_17,AssistVR,4,Low,7.226333667
sub_17,AssistVR,4,Medium,7.908194
sub_17,AssistVR,4,High,16.55524633
sub_17,DiscPIM,1,Low,6.825927667
sub_17,DiscPIM,1,Medium,6.157999667
sub_17,DiscPIM,1,High,5.520304333
sub_17,DiscPIM,2,Low,22.26190333
sub_17,DiscPIM,2,Medium,7.852336333
sub_17,DiscPIM,2,High,8.724323333
sub_17,DiscPIM,4,Low,19.89880333
sub_17,DiscPIM,4,Medium,23.48277
sub_17,DiscPIM,4,High,14.98714
sub_18,AssistVR,1,Low,8.902872667
sub_18,AssistVR,1,Medium,7.637492
sub_18,AssistVR,1,High,14.67208
sub_18,AssistVR,2,Low,7.847106667
sub_18,AssistVR,2,Medium,8.571574
sub_18,AssistVR,2,High,12.48592033
sub_18,AssistVR,4,Low,9.407756667
sub_18,AssistVR,4,Medium,8.223756
sub_18,AssistVR,4,High,24.07595667
sub_18,DiscPIM,1,Low,6.458159
sub_18,DiscPIM,1,Medium,7.148488333
sub_18,DiscPIM,1,High,8.635457
sub_18,DiscPIM,2,Low,18.30031333
sub_18,DiscPIM,2,Medium,7.206624333
sub_18,DiscPIM,2,High,14.73024267
sub_18,DiscPIM,4,Low,19.39831667
sub_18,DiscPIM,4,Medium,22.80479
sub_18,DiscPIM,4,High,28.08186667
sub_19,AssistVR,1,Low,3.081655
sub_19,AssistVR,1,Medium,2.130829
sub_19,AssistVR,1,High,4.004906
sub_19,AssistVR,2,Low,3.894582
sub_19,AssistVR,2,Medium,10.08402567
sub_19,AssistVR,2,High,3.563522333
sub_19,AssistVR,4,Low,6.533661
sub_19,AssistVR,4,Medium,23.80222667
sub_19,AssistVR,4,High,9.486063
sub_19,DiscPIM,1,Low,6.722981667
sub_19,DiscPIM,1,Medium,8.970291333
sub_19,DiscPIM,1,High,5.554524667
sub_19,DiscPIM,2,Low,7.583333667
sub_19,DiscPIM,2,Medium,13.91733167
sub_19,DiscPIM,2,High,8.218128
sub_19,DiscPIM,4,Low,12.83176667
sub_19,DiscPIM,4,Medium,19.08793
sub_19,DiscPIM,4,High,19.41146
sub_20,AssistVR,1,Low,5.323953667
sub_20,AssistVR,1,Medium,2.084330333
sub_20,AssistVR,1,High,4.2797904
sub_20,AssistVR,2,Low,6.737437
sub_20,AssistVR,2,Medium,5.662455333
sub_20,AssistVR,2,High,9.054692
sub_20,AssistVR,4,Low,7.006307
sub_20,AssistVR,4,Medium,7.261006667
sub_20,AssistVR,4,High,15.23572733
sub_20,DiscPIM,1,Low,2.840617
sub_20,DiscPIM,1,Medium,6.997965333
sub_20,DiscPIM,1,High,5.932352667
sub_20,DiscPIM,2,Low,8.458129667
sub_20,DiscPIM,2,Medium,8.942346333
sub_20,DiscPIM,2,High,10.67340233
sub_20,DiscPIM,4,Low,15.47011
sub_20,DiscPIM,4,Medium,15.18285333
sub_20,DiscPIM,4,High,18.23958333
sub_21,AssistVR,1,Low,5.980737
sub_21,AssistVR,1,Medium,7.977661
sub_21,AssistVR,1,High,7.948954333
sub_21,AssistVR,2,Low,6.073547333
sub_21,AssistVR,2,Medium,7.672121667
sub_21,AssistVR,2,High,8.176981667
sub_21,AssistVR,4,Low,7.820322
sub_21,AssistVR,4,Medium,8.088272
sub_21,AssistVR,4,High,9.768870333
sub_21,DiscPIM,1,Low,4.413045333
sub_21,DiscPIM,1,Medium,6.348917667
sub_21,DiscPIM,1,High,8.102985667
sub_21,DiscPIM,2,Low,16.14992333
sub_21,DiscPIM,2,Medium,11.19415167
sub_21,DiscPIM,2,High,11.47599133
sub_21,DiscPIM,4,Low,23.55115
sub_21,DiscPIM,4,Medium,14.00988667
sub_21,DiscPIM,4,High,16.58632667
